vessel_name,capacity_tons,speed_knots,cargo_weight_tons,cargo_ratio,distance_nm,weather_condition,fuel_type,duration_days,fuel_per_day_tons,total_trip_fuel_tons
Vessel A,5000,20.41,2043.6,0.409,2111.9,Calm,Green Fuel,4.31,120.29,518.52
Vessel D,9000,16.62,8596.0,0.955,3243.6,Rough,Green Fuel,8.13,135.06,1098.17
Vessel D,9000,13.43,6431.7,0.715,3318.4,Moderate,Green Fuel,10.29,53.97,555.49
Vessel D,9000,20.67,3209.7,0.357,1633.6,Calm,Green Fuel,3.29,139.46,459.15
Vessel A,5000,9.32,3732.0,0.746,3410.5,Calm,Fuel A,15.24,11.81,180.09
Vessel A,5000,12.88,4746.6,0.949,3253.2,Calm,Fuel A,10.53,34.92,367.56
Vessel A,5000,15.67,2693.9,0.539,3963.9,Moderate,Green Fuel,10.54,56.61,596.61
Vessel C,4000,16.13,3574.8,0.894,2783.4,Moderate,Fuel A,7.19,65.76,472.91
Vessel C,4000,18.56,1130.0,0.282,2086.9,Rough,Fuel B,4.68,80.63,377.68
Vessel C,4000,13.45,834.7,0.209,1413.4,Rough,Fuel A,4.38,31.45,137.73
Vessel B,7000,17.47,4102.1,0.586,548.5,Moderate,Fuel A,1.31,94.61,123.72
Vessel A,5000,18.53,4166.3,0.833,3737.5,Moderate,Fuel A,8.4,125.6,1055.36
Vessel B,7000,8.81,4477.4,0.64,2274.5,Moderate,Green Fuel,10.76,13.53,145.62
Vessel A,5000,9.42,1336.4,0.267,1707.3,Moderate,Fuel B,7.56,10.56,79.8
Vessel C,4000,17.89,1060.3,0.265,2409.0,Calm,Green Fuel,5.61,68.91,386.66
Vessel A,5000,18.55,2505.0,0.501,1636.4,Calm,Fuel A,3.68,83.65,307.52
Vessel C,4000,13.94,3700.3,0.925,1164.0,Calm,Green Fuel,3.48,50.28,174.95
Vessel D,9000,9.66,2646.2,0.294,2787.9,Moderate,Fuel A,12.02,11.84,142.39
Vessel D,9000,21.47,4499.1,0.5,1049.7,Calm,Fuel A,2.04,151.46,308.53
Vessel C,4000,20.87,1609.6,0.402,2187.8,Moderate,Fuel A,4.37,124.99,546.0
Vessel A,5000,11.04,2178.0,0.436,2420.4,Rough,Fuel B,9.14,21.73,198.63
Vessel D,9000,12.7,3021.7,0.336,1071.7,Moderate,Fuel B,3.52,32.04,112.68
Vessel D,9000,9.09,8815.6,0.98,322.8,Rough,Fuel B,1.48,17.94,26.56
Vessel A,5000,17.59,1650.5,0.33,3774.0,Rough,Fuel A,8.94,77.28,690.98
Vessel C,4000,18.16,2762.9,0.691,3491.0,Moderate,Fuel B,8.01,95.13,762.0
Vessel D,9000,21.79,4512.5,0.501,3885.7,Moderate,Fuel A,7.43,169.6,1259.91
Vessel C,4000,15.97,1003.2,0.251,1238.9,Calm,Green Fuel,3.23,47.73,154.3
Vessel A,5000,18.17,4028.3,0.806,1912.1,Calm,Fuel A,4.39,93.81,411.41
Vessel B,7000,11.52,2938.5,0.42,2752.5,Calm,Fuel A,9.96,18.94,188.58
Vessel D,9000,8.31,5386.8,0.599,2176.6,Moderate,Green Fuel,10.91,12.11,132.11
Vessel D,9000,19.43,8769.4,0.974,1733.2,Calm,Green Fuel,3.72,162.9,605.5
Vessel B,7000,19.27,6457.6,0.923,1532.2,Moderate,Fuel B,3.31,147.98,490.26
Vessel B,7000,16.91,4507.0,0.644,1523.4,Calm,Fuel B,3.75,79.34,297.75
Vessel D,9000,12.17,5569.9,0.619,758.9,Moderate,Fuel A,2.6,32.61,84.73
Vessel D,9000,19.79,7336.2,0.815,3924.1,Calm,Fuel A,8.26,122.39,1011.22
Vessel C,4000,16.12,1893.0,0.473,686.6,Moderate,Green Fuel,1.78,62.07,110.18
Vessel C,4000,13.6,3032.5,0.758,3607.8,Calm,Fuel A,11.05,40.51,447.67
Vessel B,7000,16.43,2653.6,0.379,1258.6,Rough,Fuel B,3.19,73.85,235.76
Vessel A,5000,8.45,3194.9,0.639,3598.0,Moderate,Fuel B,17.75,9.04,160.49
Vessel C,4000,8.55,3358.1,0.84,2144.3,Moderate,Green Fuel,10.45,10.78,112.62
Vessel C,4000,20.89,995.4,0.249,521.2,Calm,Fuel A,1.04,98.07,101.94
Vessel C,4000,13.19,2350.5,0.588,2218.8,Moderate,Green Fuel,7.01,36.57,256.41
Vessel B,7000,18.46,1605.4,0.229,2811.2,Calm,Green Fuel,6.34,85.9,544.94
Vessel D,9000,9.5,5021.4,0.558,598.5,Moderate,Green Fuel,2.62,17.06,44.79
Vessel C,4000,13.28,864.2,0.216,539.0,Calm,Green Fuel,1.69,24.3,41.09
Vessel A,5000,16.31,3716.4,0.743,2022.4,Moderate,Fuel A,5.17,73.43,379.39
Vessel D,9000,15.52,6025.3,0.669,2344.9,Moderate,Fuel A,6.3,62.84,395.62
Vessel D,9000,17.04,5909.6,0.657,1455.3,Calm,Fuel A,3.56,76.7,272.88
Vessel A,5000,11.32,1407.1,0.281,2053.7,Calm,Green Fuel,7.56,19.35,146.27
Vessel C,4000,19.44,1625.3,0.406,3319.3,Calm,Green Fuel,7.11,96.01,683.09
Vessel B,7000,15.79,4601.0,0.657,910.8,Calm,Fuel A,2.4,58.73,141.1
Vessel A,5000,18.31,3119.4,0.624,1296.8,Moderate,Fuel B,2.95,83.33,245.95
Vessel A,5000,15.09,4728.1,0.946,396.9,Calm,Green Fuel,1.1,59.74,65.5
Vessel C,4000,15.68,1445.5,0.361,727.5,Moderate,Fuel A,1.93,47.73,92.24
Vessel A,5000,18.64,3382.6,0.677,3218.3,Moderate,Green Fuel,7.19,111.24,800.11
Vessel A,5000,18.23,4753.4,0.951,3720.5,Calm,Green Fuel,8.5,121.53,1033.36
Vessel D,9000,16.04,7861.2,0.873,3051.9,Calm,Fuel A,7.93,78.94,625.73
Vessel A,5000,19.4,3660.8,0.732,3533.4,Moderate,Fuel A,7.59,124.9,947.68
Vessel A,5000,17.56,2807.8,0.562,2571.6,Moderate,Green Fuel,6.1,77.77,474.51
Vessel A,5000,11.25,4598.3,0.92,453.2,Calm,Fuel B,1.68,24.83,41.67
Vessel D,9000,16.74,2641.7,0.294,2976.1,Rough,Green Fuel,7.41,86.24,638.87
Vessel C,4000,16.68,2507.1,0.627,776.4,Rough,Fuel A,1.94,84.19,163.27
Vessel A,5000,17.9,4114.3,0.823,2913.4,Calm,Fuel B,6.78,96.14,652.07
Vessel B,7000,19.5,2019.5,0.289,3229.7,Rough,Green Fuel,6.9,134.38,927.47
Vessel A,5000,14.81,2635.8,0.527,2636.4,Moderate,Green Fuel,7.42,54.47,404.05
Vessel C,4000,16.39,3445.8,0.861,1063.9,Rough,Fuel B,2.71,94.17,254.76
Vessel C,4000,14.47,3831.3,0.958,728.6,Calm,Fuel A,2.1,46.99,98.6
Vessel D,9000,20.21,8511.3,0.946,3705.5,Moderate,Fuel A,7.64,170.4,1301.83
Vessel D,9000,17.12,7353.0,0.817,1811.7,Calm,Fuel A,4.41,91.53,403.62
Vessel B,7000,20.75,2087.7,0.298,3387.8,Calm,Fuel B,6.8,110.16,749.39
Vessel B,7000,19.72,3260.0,0.466,2446.8,Calm,Green Fuel,5.17,114.24,590.48
Vessel A,5000,10.88,4151.2,0.83,1713.0,Moderate,Green Fuel,6.56,24.52,160.88
Vessel A,5000,20.09,4691.8,0.938,3002.5,Moderate,Green Fuel,6.23,149.11,928.54
Vessel D,9000,20.78,3587.2,0.399,328.7,Moderate,Fuel B,0.66,135.79,89.52
Vessel A,5000,13.07,3322.4,0.664,2721.4,Moderate,Fuel B,8.67,34.22,296.79
Vessel D,9000,15.49,3128.1,0.348,1709.8,Calm,Fuel A,4.6,48.21,221.72
Vessel C,4000,10.94,3673.8,0.918,2574.9,Calm,Fuel A,9.81,21.59,211.73
Vessel C,4000,8.92,3281.7,0.82,2230.9,Moderate,Fuel B,10.42,10.98,114.38
Vessel A,5000,13.61,3238.6,0.648,1470.6,Calm,Fuel A,4.5,36.52,164.41
Vessel B,7000,11.79,5006.4,0.715,3919.9,Moderate,Green Fuel,13.85,31.73,439.56
Vessel D,9000,18.02,6544.3,0.727,1164.8,Calm,Green Fuel,2.69,111.27,299.62
Vessel D,9000,9.46,7559.4,0.84,2315.5,Calm,Fuel A,10.2,14.13,144.15
Vessel D,9000,9.39,3550.8,0.395,3354.8,Moderate,Fuel B,14.88,13.96,207.82
Vessel A,5000,13.69,2296.0,0.459,524.9,Calm,Fuel B,1.6,30.25,48.33
Vessel C,4000,19.87,1192.9,0.298,1801.4,Rough,Fuel A,3.78,105.13,397.04
Vessel B,7000,13.08,1591.7,0.227,1755.8,Rough,Fuel A,5.59,33.76,188.76
Vessel B,7000,13.08,6222.0,0.889,3101.7,Calm,Fuel B,9.88,40.29,398.14
Vessel D,9000,10.55,5290.4,0.588,2258.2,Moderate,Fuel A,8.92,20.75,185.04
Vessel A,5000,13.64,1872.1,0.374,3940.7,Moderate,Fuel B,12.04,30.81,371.05
Vessel C,4000,17.56,3432.3,0.858,2390.8,Moderate,Fuel B,5.67,87.95,498.79
Vessel B,7000,8.94,3669.4,0.524,605.0,Moderate,Green Fuel,2.82,12.29,34.65
Vessel C,4000,20.23,2711.7,0.678,2078.2,Moderate,Fuel A,4.28,120.97,517.71
Vessel B,7000,20.8,3745.1,0.535,1803.7,Calm,Fuel B,3.61,130.35,470.95
Vessel A,5000,9.16,3412.6,0.683,3380.9,Calm,Fuel A,15.38,11.18,171.98
Vessel C,4000,12.98,3100.9,0.775,3807.4,Calm,Green Fuel,12.22,35.84,438.0
Vessel B,7000,18.26,2603.7,0.372,2461.3,Calm,Green Fuel,5.62,88.04,494.57
Vessel C,4000,19.85,3856.8,0.964,3129.5,Calm,Fuel A,6.57,123.43,810.82
Vessel C,4000,16.38,2271.0,0.568,3237.8,Calm,Fuel B,8.24,61.01,502.64
Vessel D,9000,21.55,1837.8,0.204,548.0,Calm,Fuel A,1.06,125.72,133.23
Vessel C,4000,9.21,3866.1,0.967,3264.9,Moderate,Green Fuel,14.76,15.62,230.58
Vessel C,4000,18.14,2839.1,0.71,2059.8,Rough,Fuel B,4.73,109.17,516.57
Vessel C,4000,15.78,2314.3,0.579,2850.2,Calm,Green Fuel,7.53,57.02,429.06
Vessel A,5000,10.7,1461.1,0.292,2002.0,Moderate,Fuel A,7.8,15.79,123.14
Vessel B,7000,15.31,5009.5,0.716,2330.6,Moderate,Green Fuel,6.34,70.45,446.71
Vessel A,5000,9.08,3785.2,0.757,1737.0,Calm,Green Fuel,7.97,13.53,107.91
Vessel D,9000,19.07,4095.0,0.455,2540.3,Moderate,Fuel A,5.55,115.94,643.49
Vessel B,7000,13.85,3986.9,0.57,3523.9,Rough,Green Fuel,10.61,59.65,632.55
Vessel C,4000,8.98,830.4,0.208,1727.3,Calm,Fuel A,8.01,7.51,60.2
Vessel A,5000,14.72,3323.0,0.665,3119.4,Calm,Fuel A,8.83,41.61,367.49
Vessel A,5000,18.25,1013.4,0.203,3440.7,Moderate,Fuel B,7.85,63.93,502.17
Vessel B,7000,11.27,1635.7,0.234,371.4,Calm,Fuel B,1.37,16.56,22.73
Vessel D,9000,11.06,8639.7,0.96,2436.5,Moderate,Green Fuel,9.18,30.04,275.89
Vessel C,4000,20.31,3823.1,0.956,3958.9,Moderate,Fuel A,8.12,144.98,1177.63
Vessel D,9000,21.2,6477.5,0.72,657.3,Moderate,Fuel A,1.29,181.52,234.51
Vessel C,4000,10.47,1505.6,0.376,3339.6,Calm,Green Fuel,13.29,15.06,200.07
Vessel C,4000,20.37,3768.8,0.942,1188.9,Rough,Fuel A,2.43,186.67,453.9
Vessel C,4000,18.62,3027.3,0.757,1052.9,Calm,Green Fuel,2.36,102.81,242.3
Vessel A,5000,20.53,4440.5,0.888,1237.2,Moderate,Green Fuel,2.51,155.28,389.93
Vessel A,5000,20.44,4822.6,0.965,1450.4,Rough,Fuel A,2.96,190.56,563.36
Vessel B,7000,13.72,3487.1,0.498,385.4,Calm,Fuel A,1.17,37.42,43.8
Vessel B,7000,9.13,2633.0,0.376,3967.6,Moderate,Fuel A,18.1,11.8,213.55
Vessel C,4000,12.87,2969.7,0.742,2988.9,Moderate,Fuel A,9.68,33.55,324.66
Vessel D,9000,19.16,6540.9,0.727,809.5,Rough,Green Fuel,1.76,163.37,287.54
Vessel A,5000,17.52,3474.4,0.695,3550.2,Moderate,Green Fuel,8.44,92.19,778.27
Vessel A,5000,20.21,1117.0,0.223,3315.8,Rough,Fuel B,6.84,118.74,811.88
Vessel B,7000,19.45,6060.0,0.866,933.9,Moderate,Green Fuel,2.0,153.84,307.76
Vessel A,5000,16.64,4924.7,0.985,1631.4,Moderate,Green Fuel,4.09,92.86,379.41
Vessel C,4000,15.58,3881.6,0.97,3741.7,Calm,Green Fuel,10.01,63.3,633.47
Vessel A,5000,19.04,1695.0,0.339,832.2,Moderate,Green Fuel,1.82,105.42,191.96
Vessel B,7000,12.84,4877.1,0.697,3962.6,Calm,Fuel B,12.86,34.68,445.92
Vessel C,4000,21.56,3198.9,0.8,1657.7,Calm,Fuel A,3.2,156.66,501.8
Vessel C,4000,17.57,2226.9,0.557,3788.4,Calm,Fuel A,8.99,67.83,609.56
Vessel C,4000,14.32,1323.6,0.331,1333.8,Moderate,Fuel A,3.88,37.47,145.43
Vessel D,9000,17.16,3767.5,0.419,3785.7,Rough,Fuel A,9.19,99.94,918.53
Vessel D,9000,20.0,8744.5,0.972,3939.1,Moderate,Fuel A,8.21,180.99,1485.06
Vessel C,4000,18.44,1441.1,0.36,3484.6,Rough,Fuel B,7.87,90.5,712.47
Vessel D,9000,15.61,2946.6,0.327,3151.1,Calm,Fuel A,8.41,53.89,453.44
Vessel D,9000,8.25,7536.9,0.837,2543.3,Calm,Fuel B,12.84,10.19,130.94
Vessel B,7000,14.47,1406.9,0.201,2805.1,Moderate,Fuel B,8.08,35.28,285.01
Vessel A,5000,10.25,3606.1,0.721,3230.7,Calm,Fuel B,13.13,15.33,201.33
Vessel C,4000,21.78,1278.7,0.32,1691.5,Moderate,Fuel B,3.24,141.88,459.09
Vessel D,9000,17.2,7250.8,0.806,350.6,Rough,Fuel A,0.85,116.53,98.97
Vessel B,7000,18.49,2217.2,0.317,741.5,Calm,Fuel B,1.67,89.7,149.89
Vessel D,9000,12.84,7385.8,0.821,2167.3,Rough,Fuel A,7.03,50.33,353.89
Vessel A,5000,20.36,1330.0,0.266,1708.3,Rough,Fuel B,3.5,124.72,436.13
Vessel B,7000,17.7,6000.1,0.857,3815.9,Calm,Fuel A,8.98,89.79,806.34
Vessel A,5000,17.89,1126.3,0.225,2529.2,Rough,Green Fuel,5.89,94.38,555.92
Vessel D,9000,18.0,7572.4,0.841,2040.7,Calm,Green Fuel,4.72,115.89,547.52
Vessel C,4000,20.53,2552.3,0.638,2027.4,Rough,Fuel B,4.12,163.58,673.17
Vessel D,9000,11.46,2948.7,0.328,1450.3,Rough,Fuel B,5.27,25.61,135.07
Vessel B,7000,12.72,2419.9,0.346,365.9,Moderate,Green Fuel,1.2,30.01,35.99
Vessel D,9000,21.65,6482.3,0.72,1038.1,Calm,Green Fuel,2.0,205.6,410.82
Vessel B,7000,8.43,2843.0,0.406,3851.0,Moderate,Fuel B,19.04,9.28,176.63
Vessel A,5000,12.84,2484.2,0.497,3494.7,Rough,Fuel B,11.34,35.18,398.82
Vessel D,9000,16.23,2011.6,0.224,2471.3,Calm,Fuel B,6.34,54.99,348.85
Vessel C,4000,16.29,3719.6,0.93,1970.1,Calm,Fuel A,5.04,71.91,362.28
Vessel A,5000,18.26,1526.3,0.305,882.8,Moderate,Fuel B,2.01,78.26,157.62
Vessel A,5000,14.12,1389.6,0.278,2156.3,Moderate,Fuel B,6.36,34.23,217.82
Vessel A,5000,17.28,1381.0,0.276,3883.8,Moderate,Fuel A,9.37,68.9,645.38
Vessel C,4000,16.24,2715.9,0.679,1924.4,Calm,Green Fuel,4.94,59.92,295.91
Vessel C,4000,20.37,2214.5,0.554,1480.6,Calm,Fuel A,3.03,106.91,323.76
Vessel D,9000,16.23,8629.8,0.959,837.0,Calm,Fuel B,2.15,85.97,184.72
Vessel A,5000,16.48,2426.9,0.485,3407.8,Moderate,Fuel A,8.62,66.39,572.09
Vessel C,4000,15.81,2527.7,0.632,416.9,Calm,Fuel B,1.1,55.46,60.92
Vessel C,4000,11.24,965.4,0.241,1918.4,Moderate,Green Fuel,7.11,18.05,128.4
Vessel A,5000,16.19,3752.8,0.751,3867.5,Calm,Fuel B,9.96,64.12,638.34
Vessel C,4000,8.24,1834.0,0.459,1928.0,Rough,Green Fuel,9.75,8.61,83.95
Vessel D,9000,15.45,2705.3,0.301,967.0,Calm,Fuel B,2.61,56.72,147.91
Vessel C,4000,10.27,1402.7,0.351,1886.3,Moderate,Fuel A,7.65,13.48,103.11
Vessel B,7000,17.26,6880.3,0.983,2089.3,Calm,Fuel B,5.04,92.64,467.17
Vessel A,5000,19.63,4458.4,0.892,3737.6,Moderate,Green Fuel,7.93,159.57,1265.81
Vessel C,4000,21.17,3445.9,0.861,605.1,Moderate,Fuel A,1.19,169.36,201.67
Vessel D,9000,10.23,6155.7,0.684,1746.3,Calm,Fuel A,7.11,18.41,130.92
Vessel A,5000,12.04,1436.4,0.287,1442.7,Moderate,Fuel B,4.99,22.29,111.3
Vessel B,7000,14.13,6447.7,0.921,1855.2,Rough,Green Fuel,5.47,72.14,394.56
Vessel B,7000,17.09,3238.9,0.463,1705.5,Moderate,Fuel B,4.16,75.46,313.82
Vessel A,5000,13.33,3194.0,0.639,1888.8,Moderate,Fuel A,5.91,37.55,221.76
Vessel D,9000,17.35,6260.3,0.696,2261.0,Moderate,Green Fuel,5.43,106.35,577.31
Vessel D,9000,15.27,5250.1,0.583,613.9,Calm,Fuel B,1.68,55.45,92.9
Vessel C,4000,15.47,2745.3,0.686,3038.1,Moderate,Fuel B,8.18,50.92,416.63
Vessel D,9000,21.38,1931.3,0.215,3607.5,Calm,Green Fuel,7.03,126.91,892.33
Vessel D,9000,21.08,4331.7,0.481,2545.9,Calm,Fuel A,5.03,154.23,776.03
Vessel A,5000,11.99,2229.2,0.446,2407.5,Rough,Green Fuel,8.37,32.5,271.92
Vessel B,7000,11.82,3715.9,0.531,668.2,Calm,Green Fuel,2.36,25.68,60.52
Vessel D,9000,10.54,5581.2,0.62,2355.8,Moderate,Fuel A,9.31,22.87,212.98
Vessel A,5000,13.23,3106.0,0.621,2486.1,Calm,Fuel A,7.83,32.69,256.0
Vessel B,7000,15.21,4723.8,0.675,2521.7,Moderate,Green Fuel,6.91,72.13,498.22
Vessel D,9000,18.78,5807.8,0.645,2981.4,Calm,Fuel B,6.62,104.25,689.61
Vessel D,9000,13.93,6606.4,0.734,1916.7,Calm,Fuel B,5.73,42.18,241.77
Vessel C,4000,20.17,2313.3,0.578,289.8,Moderate,Fuel B,0.6,116.7,69.87
Vessel C,4000,11.22,1459.8,0.365,1685.4,Moderate,Fuel A,6.26,17.84,111.65
Vessel B,7000,11.84,4743.5,0.678,1827.2,Moderate,Fuel B,6.43,32.47,208.75
Vessel C,4000,18.14,850.6,0.213,595.6,Calm,Fuel B,1.37,62.18,85.05
Vessel C,4000,18.82,1647.7,0.412,1724.5,Moderate,Green Fuel,3.82,105.1,401.34
Vessel A,5000,11.17,2420.0,0.484,3361.1,Calm,Fuel A,12.53,17.74,222.37
Vessel D,9000,15.56,8136.6,0.904,1077.2,Moderate,Fuel B,2.88,76.94,221.91
Vessel B,7000,12.66,5149.1,0.736,1579.2,Rough,Fuel B,5.2,42.13,218.91
Vessel D,9000,8.84,5848.5,0.65,2612.8,Rough,Fuel A,12.31,15.17,186.79
Vessel C,4000,10.81,2514.6,0.629,3322.9,Calm,Fuel A,12.8,16.91,216.47
Vessel B,7000,11.28,3636.2,0.519,3001.3,Calm,Fuel A,11.08,21.28,235.82
Vessel D,9000,15.56,7862.6,0.874,1176.8,Moderate,Fuel B,3.15,76.81,242.05
Vessel A,5000,19.56,4128.1,0.826,647.1,Moderate,Fuel B,1.38,129.07,177.87
Vessel C,4000,11.68,1952.4,0.488,1108.4,Calm,Green Fuel,3.95,23.41,92.54
Vessel B,7000,14.26,4763.3,0.68,3187.8,Moderate,Green Fuel,9.31,55.89,520.54
Vessel C,4000,21.89,3524.6,0.881,1709.3,Calm,Green Fuel,3.25,198.63,646.26
Vessel B,7000,20.29,6261.1,0.894,1357.8,Rough,Green Fuel,2.79,221.41,617.31
Vessel A,5000,12.52,1091.6,0.218,1515.2,Calm,Green Fuel,5.04,23.98,120.94
Vessel A,5000,16.05,2917.4,0.583,2050.8,Calm,Green Fuel,5.32,63.87,339.99
Vessel B,7000,20.58,6044.3,0.863,1714.9,Calm,Green Fuel,3.47,162.38,563.92
Vessel D,9000,14.7,5444.0,0.605,2288.2,Calm,Fuel A,6.49,48.26,313.08
Vessel D,9000,9.71,6078.9,0.675,1255.5,Rough,Fuel B,5.39,19.67,105.99
Vessel C,4000,10.13,996.3,0.249,1004.7,Moderate,Fuel B,4.13,11.69,48.32
Vessel B,7000,21.93,1723.6,0.246,1835.3,Moderate,Fuel A,3.49,136.17,474.86
Vessel C,4000,17.69,999.3,0.25,1069.8,Moderate,Green Fuel,2.52,75.34,189.84
Vessel A,5000,16.61,2225.0,0.445,1819.1,Moderate,Fuel B,4.56,57.89,264.14
Vessel C,4000,15.36,2341.2,0.585,3123.4,Calm,Fuel A,8.47,46.71,395.87
Vessel B,7000,11.48,2149.3,0.307,1187.3,Moderate,Fuel B,4.31,19.94,85.92
Vessel C,4000,16.67,1835.2,0.459,3908.3,Rough,Fuel A,9.77,75.79,740.61
Vessel B,7000,8.9,1638.7,0.234,2282.2,Calm,Fuel A,10.68,9.16,97.81
Vessel C,4000,10.09,1207.0,0.302,2008.9,Rough,Fuel B,8.3,14.31,118.74
Vessel A,5000,16.6,4438.3,0.888,3589.9,Calm,Fuel B,9.01,76.94,693.37
Vessel D,9000,9.07,3811.4,0.423,3335.5,Rough,Fuel A,15.32,13.34,204.34
Vessel C,4000,17.23,3664.4,0.916,3579.7,Moderate,Green Fuel,8.66,102.04,883.27
Vessel A,5000,18.32,3048.9,0.61,344.5,Moderate,Fuel A,0.78,95.12,74.51
Vessel C,4000,18.03,1030.7,0.258,3834.7,Calm,Fuel A,8.86,59.71,529.15
Vessel B,7000,21.88,6836.2,0.977,903.7,Rough,Green Fuel,1.72,298.72,514.05
Vessel C,4000,13.77,2558.8,0.64,279.6,Rough,Fuel B,0.85,47.56,40.24
